madison-gerry	madison-gerry@uchicago.edu	Gerry	Madison	555-748-1040	
jamie520	jamie520@uchicago.edu	Jamie	Blake	555-674-9951	
tyner.lisa.32	tyner.lisa.32@uchicago.edu	Lisa	Tyner	555-700-0083	
olson-bart	olson-bart@uchicago.edu	Bart	Olson	555-664-1387	
sarah34	sarah34@uchicago.edu	Sarah	Jagger	555-761-4085	
ed126	ed126@uchicago.edu	Ed	Zhang	555-415-5142	
julie507	julie507@uchicago.edu	Julie	Starr	555-415-0211	
nadal-george.53	nadal-george.53@uchicago.edu	George	Nadal	555-477-1535	
morgan-starr532	morgan-starr532@uchicago.edu	Morgan	Starr	555-412-0681	
simpson-mike	simpson-mike@uchicago.edu	Mike	Simpson	555-393-5813	
donaldson-homer-19	donaldson-homer-19@uchicago.edu	Homer	Donaldson	555-290-0157	
edna.tyner263	edna.tyner263@uchicago.edu	Edna	Tyner	555-600-8747	
starr.marge	starr.marge@uchicago.edu	Marge	Starr	555-312-3163	
julie.williams439	julie.williams439@uchicago.edu	Julie	Williams	555-711-4594	
madonna-smithson346	madonna-smithson346@uchicago.edu	Madonna	Smithson	555-513-1128	
skinner-marcus	skinner-marcus@uchicago.edu	Marcus	Skinner	555-324-7348	
adams-cosmo	adams-cosmo@uchicago.edu	Cosmo	Adams	555-642-2340	
bonham.jenna	bonham.jenna@uchicago.edu	Jenna	Bonham	555-759-7625	
ringo-jefferson358	ringo-jefferson358@uchicago.edu	Ringo	Jefferson	555-305-5934	
olson-murray.78	olson-murray.78@uchicago.edu	Murray	Olson	555-473-5100	
alison450	alison450@uchicago.edu	Alison	Erikson	555-650-5699	
marcus840	marcus840@uchicago.edu	Marcus	Blake	555-276-9993	
vincent728	vincent728@uchicago.edu	Vincent	Adams	555-542-1439	
edna883	edna883@uchicago.edu	Edna	Kim	555-688-4490	
marge225	marge225@uchicago.edu	Marge	Jones	555-595-7894	
sarah.skinner188	sarah.skinner188@uchicago.edu	Sarah	Skinner	555-748-5798	
alison-kim703	alison-kim703@uchicago.edu	Alison	Kim	555-382-8091	
moe336	moe336@uchicago.edu	Moe	Donaldson	555-370-6195	
bart729	bart729@uchicago.edu	Bart	Smithson	555-725-6804	
brown-murray.52	brown-murray.52@uchicago.edu	Murray	Brown	555-631-8808	
minnie578	minnie578@uchicago.edu	Minnie	Smithson	555-249-5359	
alkhafaji.murray-11	alkhafaji.murray-11@uchicago.edu	Murray	Alkhafaji	555-738-7016	
john.fitz281	john.fitz281@uchicago.edu	John	Fitz	555-453-4106	
donald798	donald798@uchicago.edu	Donald	Fitz	555-283-5603	
workman.cosmo	workman.cosmo@uchicago.edu	Cosmo	Workman	555-717-5200	
page.chris	page.chris@uchicago.edu	Chris	Page	555-234-7433	
erikson.lisa-18	erikson.lisa-18@uchicago.edu	Lisa	Erikson	555-558-3003	
moe-laguna708	moe-laguna708@uchicago.edu	Moe	Laguna	555-333-9298	
vincent663	vincent663@uchicago.edu	Vincent	Davidson	555-395-4550	
madonna-jefferson545	madonna-jefferson545@uchicago.edu	Madonna	Jefferson	555-393-9673	
djokovic-al	djokovic-al@uchicago.edu	Al	Djokovic	555-250-6868	
white-sal	white-sal@uchicago.edu	Sal	White	555-241-8401	
cher-harrison865	cher-harrison865@uchicago.edu	Cher	Harrison	555-503-1153	
adams.madonna-0	adams.madonna-0@uchicago.edu	Madonna	Adams	555-357-6196	
bart-shorter415	bart-shorter415@uchicago.edu	Bart	Shorter	555-289-4303	
skinner.cosmo.67	skinner.cosmo.67@uchicago.edu	Cosmo	Skinner	555-671-2558	
sonny227	sonny227@uchicago.edu	Sonny	Page	555-768-0506	
brown-chris-83	brown-chris-83@uchicago.edu	Chris	Brown	555-766-3371	
mary440	mary440@uchicago.edu	Mary	Ritchie	555-458-1428	
adams.john-71	adams.john-71@uchicago.edu	John	Adams	555-205-3319	
george563	george563@uchicago.edu	George	Blake	555-463-1889	
jones-cosmo-98	jones-cosmo-98@uchicago.edu	Cosmo	Jones	555-666-8508	
marge-nadal666	marge-nadal666@uchicago.edu	Marge	Nadal	555-602-9487	
zhang-ringo	zhang-ringo@uchicago.edu	Ringo	Zhang	555-321-6099	
mike-zhang691	mike-zhang691@uchicago.edu	Mike	Zhang	555-424-4720	
cosmo468	cosmo468@uchicago.edu	Cosmo	Hancock	555-344-7663	
murray853	murray853@uchicago.edu	Murray	Crabapple	555-264-7381	
edna.tyner347	edna.tyner347@uchicago.edu	Edna	Tyner	555-221-0931	
jerry.simpson901	jerry.simpson901@uchicago.edu	Jerry	Simpson	555-449-2612	
moe.plant413	moe.plant413@uchicago.edu	Moe	Plant	555-357-4706	
starr.homer.17	starr.homer.17@uchicago.edu	Homer	Starr	555-297-6217	
bono42	bono42@uchicago.edu	Bono	Jefferson	555-745-4010	
plant.cosmo	plant.cosmo@uchicago.edu	Cosmo	Plant	555-708-6871	
nadal.jack-72	nadal.jack-72@uchicago.edu	Jack	Nadal	555-606-2018	
lisa402	lisa402@uchicago.edu	Lisa	Smithson	555-748-4800	
sonny-federer776	sonny-federer776@uchicago.edu	Sonny	Federer	555-512-9420	
sarah622	sarah622@uchicago.edu	Sarah	Murray	555-789-6565	
smithson.edna	smithson.edna@uchicago.edu	Edna	Smithson	555-560-3117	
skinner-edna	skinner-edna@uchicago.edu	Edna	Skinner	555-761-3282	
davidson.gerald-73	davidson.gerald-73@uchicago.edu	Gerald	Davidson	555-758-7761	
pat.jones256	pat.jones256@uchicago.edu	Pat	Jones	555-737-0762	
olson.murray	olson.murray@uchicago.edu	Murray	Olson	555-479-3969	
carter-ringo-80	carter-ringo-80@uchicago.edu	Ringo	Carter	555-397-5313	
mike66	mike66@uchicago.edu	Mike	Hancock	555-665-0105	
jones.madonna.14	jones.madonna.14@uchicago.edu	Madonna	Jones	555-480-6094	
washington-lisa.37	washington-lisa.37@uchicago.edu	Lisa	Washington	555-207-7120	
edna131	edna131@uchicago.edu	Edna	Alkhafaji	555-262-5628	
djokovic-mary	djokovic-mary@uchicago.edu	Mary	Djokovic	555-670-4053	
moe.skinner317	moe.skinner317@uchicago.edu	Moe	Skinner	555-641-8277	
bono-bonham552	bono-bonham552@uchicago.edu	Bono	Bonham	555-552-9555	
gerald-white16	gerald-white16@uchicago.edu	Gerald	White	555-573-4067	
sarah-carter942	sarah-carter942@uchicago.edu	Sarah	Carter	555-751-0533	
starr-julia.89	starr-julia.89@uchicago.edu	Julia	Starr	555-204-9832	
davidson.sal-28	davidson.sal-28@uchicago.edu	Sal	Davidson	555-278-4814	
murray22	murray22@uchicago.edu	Murray	Brown	555-265-7949	
richards.ed-55	richards.ed-55@uchicago.edu	Ed	Richards	555-331-7926	
mccartney.marcus.49	mccartney.marcus.49@uchicago.edu	Marcus	McCartney	555-321-8897	
bart-bonham15	bart-bonham15@uchicago.edu	Bart	Bonham	555-414-7686	
pat107	pat107@uchicago.edu	Pat	McCartney	555-605-2978	
madonna-jagger914	madonna-jagger914@uchicago.edu	Madonna	Jagger	555-315-1044	
adams.bono-76	adams.bono-76@uchicago.edu	Bono	Adams	555-637-3141	
edna161	edna161@uchicago.edu	Edna	Brown	555-250-5327	
murray-kim519	murray-kim519@uchicago.edu	Murray	Kim	555-727-6651	
donaldson-jamie-44	donaldson-jamie-44@uchicago.edu	Jamie	Donaldson	555-795-9890	
gerald-carter112	gerald-carter112@uchicago.edu	Gerald	Carter	555-292-1125	
melissa-brown728	melissa-brown728@uchicago.edu	Melissa	Brown	555-730-9678	
lisa.murray979	lisa.murray979@uchicago.edu	Lisa	Murray	555-492-6210	
minnie369	minnie369@uchicago.edu	Minnie	Laguna	555-647-2504	
marcus835	marcus835@uchicago.edu	Marcus	Workman	555-367-9089	
lou720	lou720@uchicago.edu	Lou	Hancock	555-221-8170	
lou-page625	lou-page625@uchicago.edu	Lou	Page	555-525-5120	
green-victor.4	green-victor.4@uchicago.edu	Victor	Green	555-588-2248	
vincent.blake26	vincent.blake26@uchicago.edu	Vincent	Blake	555-241-7431	
fitz-lou.34	fitz-lou.34@uchicago.edu	Lou	Fitz	555-456-0197	
harrison-gerry	harrison-gerry@uchicago.edu	Gerry	Harrison	555-305-8647	
pat-olson649	pat-olson649@uchicago.edu	Pat	Olson	555-488-1221	
homer848	homer848@uchicago.edu	Homer	Nadal	555-531-5010	
ringo-madison231	ringo-madison231@uchicago.edu	Ringo	Madison	555-645-6897	
madison-sarah-37	madison-sarah-37@uchicago.edu	Sarah	Madison	555-208-6288	
djokovic.alison-15	djokovic.alison-15@uchicago.edu	Alison	Djokovic	555-322-0624	
jefferson.sal	jefferson.sal@uchicago.edu	Sal	Jefferson	555-424-0268	
crabapple-marge	crabapple-marge@uchicago.edu	Marge	Crabapple	555-498-7177	
sarah669	sarah669@uchicago.edu	Sarah	Olson	555-356-1874	
davidson-ed-14	davidson-ed-14@uchicago.edu	Ed	Davidson	555-798-5973	
julia-zhang875	julia-zhang875@uchicago.edu	Julia	Zhang	555-689-8243	
ed336	ed336@uchicago.edu	Ed	Harrison	555-245-7116	
lou-crabapple185	lou-crabapple185@uchicago.edu	Lou	Crabapple	555-460-6289	
jamie.carter169	jamie.carter169@uchicago.edu	Jamie	Carter	555-411-9102	
carter-al-90	carter-al-90@uchicago.edu	Al	Carter	555-382-8823	
page.homer	page.homer@uchicago.edu	Homer	Page	555-497-3276	
ritchie.jude	ritchie.jude@uchicago.edu	Jude	Ritchie	555-616-5950	
djokovic-ringo-64	djokovic-ringo-64@uchicago.edu	Ringo	Djokovic	555-237-9190	
julie300	julie300@uchicago.edu	Julie	Murray	555-635-7591	
al578	al578@uchicago.edu	Al	McCartney	555-364-0131	
jerry900	jerry900@uchicago.edu	Jerry	Alkhafaji	555-790-8660	
page-jamie-84	page-jamie-84@uchicago.edu	Jamie	Page	555-209-5432	
jerry.donaldson819	jerry.donaldson819@uchicago.edu	Jerry	Donaldson	555-305-0071	
ritchie.gerald.8	ritchie.gerald.8@uchicago.edu	Gerald	Ritchie	555-337-0173	
jerry409	jerry409@uchicago.edu	Jerry	White	555-294-0451	
madonna-carter752	madonna-carter752@uchicago.edu	Madonna	Carter	555-274-7604	
cosmo.djokovic162	cosmo.djokovic162@uchicago.edu	Cosmo	Djokovic	555-597-2095	
nadal.lisa	nadal.lisa@uchicago.edu	Lisa	Nadal	555-768-1967	
shaw-melinda.20	shaw-melinda.20@uchicago.edu	Melinda	Shaw	555-306-2939	
lisa504	lisa504@uchicago.edu	Lisa	Donaldson	555-743-8106	
simpson-edna	simpson-edna@uchicago.edu	Edna	Simpson	555-590-4762	
murray-chris	murray-chris@uchicago.edu	Chris	Murray	555-353-5188	
al.shaw203	al.shaw203@uchicago.edu	Al	Shaw	555-205-8084	
zhang.moe.56	zhang.moe.56@uchicago.edu	Moe	Zhang	555-749-3063	
higgins-al	higgins-al@uchicago.edu	Al	Higgins	555-772-8608	
richards.mary-90	richards.mary-90@uchicago.edu	Mary	Richards	555-367-4928	
sal629	sal629@uchicago.edu	Sal	Harrison	555-677-1862	
adams-mike	adams-mike@uchicago.edu	Mike	Adams	555-687-4023	
crabapple-al.66	crabapple-al.66@uchicago.edu	Al	Crabapple	555-423-1188	
jenna478	jenna478@uchicago.edu	Jenna	Donaldson	555-724-5437	
jude194	jude194@uchicago.edu	Jude	Crabapple	555-392-6293	
ed297	ed297@uchicago.edu	Ed	Djokovic	555-328-2510	
jamie.jones707	jamie.jones707@uchicago.edu	Jamie	Jones	555-305-9635	
madonna.jagger169	madonna.jagger169@uchicago.edu	Madonna	Jagger	555-796-8590	
harrison.sonny	harrison.sonny@uchicago.edu	Sonny	Harrison	555-399-0464	
minnie.shorter334	minnie.shorter334@uchicago.edu	Minnie	Shorter	555-229-8383	
cher583	cher583@uchicago.edu	Cher	McCartney	555-470-9503	
washington-morgan-58	washington-morgan-58@uchicago.edu	Morgan	Washington	555-790-4462	
sidney-white547	sidney-white547@uchicago.edu	Sidney	White	555-347-7108	
jefferson.sonny.16	jefferson.sonny.16@uchicago.edu	Sonny	Jefferson	555-514-9446	
chris.zhang286	chris.zhang286@uchicago.edu	Chris	Zhang	555-523-2036	
bonham.sammy-75	bonham.sammy-75@uchicago.edu	Sammy	Bonham	555-676-9504	
alison617	alison617@uchicago.edu	Alison	Higgins	555-471-2433	
shorter.sonny	shorter.sonny@uchicago.edu	Sonny	Shorter	555-695-1705	
minnie462	minnie462@uchicago.edu	Minnie	Smithson	555-337-6267	
olson.sammy.96	olson.sammy.96@uchicago.edu	Sammy	Olson	555-372-7521	
kernighan.gerry.29	kernighan.gerry.29@uchicago.edu	Gerry	Kernighan	555-433-8874	
minnie.brown629	minnie.brown629@uchicago.edu	Minnie	Brown	555-638-2204	
pat-smithson680	pat-smithson680@uchicago.edu	Pat	Smithson	555-308-7565	
moe128	moe128@uchicago.edu	Moe	Nadal	555-687-7757	
smithson.sidney-42	smithson.sidney-42@uchicago.edu	Sidney	Smithson	555-563-8598	
ritchie.pat	ritchie.pat@uchicago.edu	Pat	Ritchie	555-549-4308	
white-victor	white-victor@uchicago.edu	Victor	White	555-555-4585	
mary680	mary680@uchicago.edu	Mary	Olson	555-321-1578	
pat-monroe473	pat-monroe473@uchicago.edu	Pat	Monroe	555-250-6978	
george.laguna279	george.laguna279@uchicago.edu	George	Laguna	555-273-8665	
jack.washington220	jack.washington220@uchicago.edu	Jack	Washington	555-361-8271	
laguna-jack	laguna-jack@uchicago.edu	Jack	Laguna	555-706-9917	
olson-sonny.86	olson-sonny.86@uchicago.edu	Sonny	Olson	555-630-4632	
nadal-mickey-17	nadal-mickey-17@uchicago.edu	Mickey	Nadal	555-548-7781	
sonny742	sonny742@uchicago.edu	Sonny	Zhang	555-691-0474	
ringo.washington950	ringo.washington950@uchicago.edu	Ringo	Washington	555-252-4378	
kernighan-lou.65	kernighan-lou.65@uchicago.edu	Lou	Kernighan	555-485-5784	
shorter.sarah.3	shorter.sarah.3@uchicago.edu	Sarah	Shorter	555-470-2374	
crabapple.mike	crabapple.mike@uchicago.edu	Mike	Crabapple	555-303-0073	
sal-murray626	sal-murray626@uchicago.edu	Sal	Murray	555-481-0251	
al.adams383	al.adams383@uchicago.edu	Al	Adams	555-513-0530	
donald.murray936	donald.murray936@uchicago.edu	Donald	Murray	555-447-8865	
madonna.carter767	madonna.carter767@uchicago.edu	Madonna	Carter	555-589-3077	
gerald-federer314	gerald-federer314@uchicago.edu	Gerald	Federer	555-499-1943	
page-jerry	page-jerry@uchicago.edu	Jerry	Page	555-686-1102	
skinner.moe	skinner.moe@uchicago.edu	Moe	Skinner	555-541-4008	
harrison-sarah	harrison-sarah@uchicago.edu	Sarah	Harrison	555-455-5323	
shaw-victor	shaw-victor@uchicago.edu	Victor	Shaw	555-488-7592	
monroe-marge	monroe-marge@uchicago.edu	Marge	Monroe	555-545-0785	
djokovic.mary.58	djokovic.mary.58@uchicago.edu	Mary	Djokovic	555-714-7408	
erikson-mary.79	erikson-mary.79@uchicago.edu	Mary	Erikson	555-558-6127	
sarah263	sarah263@uchicago.edu	Sarah	Page	555-554-6451
moe.blue130	moe.blue130@uchicago.edu	Moe	Blue	555-739-0028
borja		borja@cs.uchicago.edu		Borja	Sotomayor	555-666-1066
